event_id,merchant_id,event_type,category,hard_negative,shape,start_date,end_date,recovery_end_date,duration_days,severity_score,affects,description
E0016002,M0016,festival_growth,benign_growth,True,gradual,2024-06-22,2024-06-28,2024-06-28,18,0.9960928202445014,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0017000,M0017,fulfillment_degradation,risk,False,gradual,2024-01-23,2024-02-07,2024-02-24,15,0.7575737766475066,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0017001,M0017,fulfillment_degradation,risk,False,gradual,2024-04-02,2024-05-03,2024-05-16,31,0.0678482676212908,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0017002,M0017,customer_mix_shift,risk,False,gradual,2024-05-21,2024-06-28,2024-06-28,40,0.7532063667102128,"new_customer_rate,chargeback_rate","customer mix shift (gradual onset, risk)"
E0018000,M0018,customer_mix_shift,risk,False,gradual,2024-01-03,2024-01-27,2024-02-09,24,0.834257558276383,"new_customer_rate,chargeback_rate","customer mix shift (gradual onset, risk)"
E0018001,M0018,compound_risk,risk,False,gradual,2024-02-20,2024-04-09,2024-04-24,49,0.8730672034995789,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0018002,M0018,refund_shock,risk,False,sudden,2024-05-20,2024-06-05,2024-06-16,16,0.9472162710248129,refund_rate,"refund shock (sudden onset, risk)"
E0018003,M0018,viral_campaign,benign_growth,True,sudden,2024-06-19,2024-06-25,2024-06-28,6,0.852910499124078,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0019000,M0019,compound_risk,risk,False,gradual,2024-04-11,2024-05-31,2024-06-18,50,0.36890305017912245,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0020000,M0020,compound_risk,risk,False,gradual,2024-02-08,2024-03-04,2024-03-17,25,0.5298073536659127,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0020001,M0020,chargeback_deterioration,risk,False,gradual,2024-03-29,2024-04-20,2024-05-01,22,0.7137909849910967,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0020002,M0020,payment_method_shift,benign_growth,True,sudden,2024-05-26,2024-06-28,2024-06-28,55,0.6321743306705356,"payment_mix,gmv","payment method shift (sudden onset, benign growth (hard negative))"
E0021000,M0021,festival_growth,benign_growth,True,sudden,2024-02-08,2024-02-19,2024-02-23,11,0.639978246254725,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0021001,M0021,chargeback_deterioration,risk,False,gradual,2024-03-31,2024-05-13,2024-05-24,43,0.703671635009489,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0021002,M0021,festival_growth,benign_growth,True,gradual,2024-06-18,2024-06-28,2024-06-28,20,0.2543185976946431,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0022000,M0022,festival_growth,benign_growth,True,gradual,2024-01-06,2024-01-18,2024-01-22,12,0.5330218150363754,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0022001,M0022,festival_growth,benign_growth,True,gradual,2024-01-25,2024-02-12,2024-02-20,18,0.7295910369854249,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0022002,M0022,fulfillment_degradation,risk,False,gradual,2024-03-09,2024-04-08,2024-04-26,30,0.2485658467991709,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0023000,M0023,chargeback_deterioration,risk,False,sudden,2024-01-16,2024-02-05,2024-02-25,20,0.8892685351861768,chargeback_rate,"chargeback deterioration (sudden onset, risk)"
E0023001,M0023,viral_campaign,benign_growth,True,gradual,2024-05-07,2024-05-14,2024-05-21,7,0.7903905502199249,"gmv,transaction_count,new_customer_rate","viral campaign (gradual onset, benign growth (hard negative))"
E0023002,M0023,chargeback_deterioration,risk,False,gradual,2024-05-28,2024-06-28,2024-06-28,44,0.3560238744345564,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0024000,M0024,chargeback_deterioration,risk,False,gradual,2024-01-18,2024-02-10,2024-02-26,23,0.9250896531815176,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0024001,M0024,chargeback_deterioration,risk,False,gradual,2024-03-13,2024-04-24,2024-05-13,42,0.2974147910523581,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0025000,M0025,product_launch,benign_growth,True,gradual,2024-01-10,2024-02-15,2024-02-22,36,0.19069325624522904,"gmv,transaction_count,new_customer_rate","product launch (gradual onset, benign growth (hard negative))"
E0025001,M0025,fulfillment_degradation,risk,False,gradual,2024-03-03,2024-03-21,2024-03-29,18,0.07641482852632965,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0025002,M0025,product_launch,benign_growth,True,gradual,2024-04-03,2024-05-28,2024-06-04,55,0.622261839363376,"gmv,transaction_count,new_customer_rate","product launch (gradual onset, benign growth (hard negative))"
E0026000,M0026,festival_growth,benign_growth,True,gradual,2024-01-27,2024-02-06,2024-02-13,10,0.20683112652272642,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0026001,M0026,fulfillment_degradation,risk,False,sudden,2024-03-13,2024-04-08,2024-04-19,26,0.7968816368244961,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (sudden onset, risk)"
E0026002,M0026,festival_growth,benign_growth,True,gradual,2024-05-03,2024-05-11,2024-05-18,8,0.5535856552313675,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0026003,M0026,payment_method_shift,benign_growth,True,gradual,2024-05-25,2024-06-28,2024-06-28,42,0.8152461574831245,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0027000,M0027,refund_shock,risk,False,sudden,2024-02-17,2024-02-27,2024-03-05,10,0.9858837013990148,refund_rate,"refund shock (sudden onset, risk)"
E0027001,M0027,compound_risk,risk,False,gradual,2024-05-12,2024-06-28,2024-06-28,47,0.4379090256793983,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0028000,M0028,festival_growth,benign_growth,True,sudden,2024-01-22,2024-02-03,2024-02-08,12,0.28049402925441563,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0028001,M0028,payment_method_shift,benign_growth,True,gradual,2024-02-17,2024-04-09,2024-04-15,52,0.6505358050836816,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0028002,M0028,product_launch,benign_growth,True,sudden,2024-05-07,2024-06-17,2024-06-28,41,0.6090013080170666,"gmv,transaction_count,new_customer_rate","product launch (sudden onset, benign growth (hard negative))"
E0029000,M0029,compound_risk,risk,False,gradual,2024-03-17,2024-04-20,2024-05-10,34,0.17105868880733077,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0029001,M0029,refund_shock,risk,False,sudden,2024-06-15,2024-06-28,2024-06-28,16,0.42797687008041546,refund_rate,"refund shock (sudden onset, risk)"
E0030000,M0030,festival_growth,benign_growth,True,gradual,2024-01-04,2024-01-23,2024-01-30,19,0.8740174323488805,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0030001,M0030,compound_risk,risk,False,gradual,2024-03-30,2024-05-18,2024-06-01,49,0.6338187865418017,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0031000,M0031,fulfillment_degradation,risk,False,gradual,2024-03-13,2024-04-03,2024-04-12,21,0.8114242346496096,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0031001,M0031,festival_growth,benign_growth,True,sudden,2024-04-17,2024-04-30,2024-05-07,13,0.9043932881365592,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0031002,M0031,refund_shock,risk,False,sudden,2024-05-14,2024-05-29,2024-06-06,15,0.9289360394884469,refund_rate,"refund shock (sudden onset, risk)"
E0031003,M0031,fulfillment_degradation,risk,False,gradual,2024-06-09,2024-06-28,2024-06-28,19,0.12321766756849381,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0032000,M0032,product_launch,benign_growth,True,gradual,2024-02-17,2024-04-14,2024-04-24,57,0.5007460291326393,"gmv,transaction_count,new_customer_rate","product launch (gradual onset, benign growth (hard negative))"
E0032001,M0032,payment_method_shift,benign_growth,True,gradual,2024-05-07,2024-06-28,2024-06-28,60,0.3246349170087605,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0033000,M0033,fulfillment_degradation,risk,False,gradual,2024-01-11,2024-02-15,2024-02-25,35,0.9457007297849412,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0033001,M0033,refund_shock,risk,False,sudden,2024-03-17,2024-03-28,2024-04-09,11,0.2612259011631667,refund_rate,"refund shock (sudden onset, risk)"
E0034000,M0034,festival_growth,benign_growth,True,sudden,2024-01-08,2024-01-21,2024-01-24,13,0.3684368300163264,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0034001,M0034,refund_shock,risk,False,sudden,2024-02-02,2024-02-12,2024-02-22,10,0.7545231784766826,refund_rate,"refund shock (sudden onset, risk)"
E0034002,M0034,payment_method_shift,benign_growth,True,gradual,2024-03-02,2024-04-29,2024-05-05,58,0.9935453728834631,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0035000,M0035,fulfillment_degradation,risk,False,sudden,2024-04-25,2024-05-21,2024-06-03,26,0.9326789064581608,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (sudden onset, risk)"
E0036000,M0036,viral_campaign,benign_growth,True,sudden,2024-01-03,2024-01-15,2024-01-20,12,0.3424471842678919,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0036001,M0036,payment_method_shift,benign_growth,True,gradual,2024-02-21,2024-03-28,2024-04-04,36,0.7013624234155755,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0036002,M0036,fulfillment_degradation,risk,False,sudden,2024-04-28,2024-06-05,2024-06-21,38,0.6693201630362338,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (sudden onset, risk)"
E0037000,M0037,festival_growth,benign_growth,True,sudden,2024-02-07,2024-02-18,2024-02-22,11,0.30978876542644956,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0037001,M0037,festival_growth,benign_growth,True,sudden,2024-03-14,2024-03-31,2024-04-06,17,0.5946302540940758,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0037002,M0037,festival_growth,benign_growth,True,gradual,2024-05-28,2024-06-09,2024-06-16,12,0.7761185502052322,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0038000,M0038,refund_shock,risk,False,sudden,2024-04-04,2024-04-13,2024-04-20,9,0.8410761690044574,refund_rate,"refund shock (sudden onset, risk)"
E0039000,M0039,product_launch,benign_growth,True,gradual,2024-02-09,2024-03-16,2024-03-22,36,0.8695593699914915,"gmv,transaction_count,new_customer_rate","product launch (gradual onset, benign growth (hard negative))"
E0039001,M0039,fulfillment_degradation,risk,False,gradual,2024-04-12,2024-05-22,2024-05-31,40,0.18193974545434677,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0039002,M0039,compound_risk,risk,False,gradual,2024-06-03,2024-06-28,2024-06-28,41,0.7595933654443379,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0040000,M0040,refund_shock,risk,False,gradual,2024-03-03,2024-03-10,2024-03-15,7,0.5048567032912977,refund_rate,"refund shock (gradual onset, risk)"
E0040001,M0040,fulfillment_degradation,risk,False,gradual,2024-03-25,2024-04-13,2024-04-24,19,0.3388950409517843,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0040002,M0040,chargeback_deterioration,risk,False,gradual,2024-05-22,2024-06-18,2024-06-28,27,0.043987688179434645,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0041000,M0041,fulfillment_degradation,risk,False,gradual,2024-01-24,2024-02-10,2024-02-18,17,0.8014615140641232,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0041001,M0041,customer_mix_shift,risk,False,gradual,2024-02-24,2024-03-31,2024-04-17,36,0.5541197603466338,"new_customer_rate,chargeback_rate","customer mix shift (gradual onset, risk)"
E0041002,M0041,refund_shock,risk,False,gradual,2024-05-01,2024-05-21,2024-06-02,20,0.8743663992442205,refund_rate,"refund shock (gradual onset, risk)"
E0041003,M0041,festival_growth,benign_growth,True,sudden,2024-06-08,2024-06-24,2024-06-28,16,0.7183801919067857,"gmv,transaction_count","festival growth (sudden onset, benign growth (hard negative))"
E0042000,M0042,viral_campaign,benign_growth,True,sudden,2024-04-10,2024-04-21,2024-04-29,11,0.6082808791696278,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0042001,M0042,refund_shock,risk,False,sudden,2024-06-04,2024-06-16,2024-06-24,12,0.5057118130007153,refund_rate,"refund shock (sudden onset, risk)"
E0043000,M0043,refund_shock,risk,False,sudden,2024-01-06,2024-01-24,2024-02-03,18,0.5602714019297853,refund_rate,"refund shock (sudden onset, risk)"
E0043001,M0043,compound_risk,risk,False,gradual,2024-03-10,2024-04-07,2024-04-21,28,0.8063495216096317,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0043002,M0043,payment_method_shift,benign_growth,True,gradual,2024-04-23,2024-05-23,2024-05-28,30,0.3350665731565145,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0043003,M0043,chargeback_deterioration,risk,False,sudden,2024-06-07,2024-06-28,2024-06-28,26,0.5585915529555059,chargeback_rate,"chargeback deterioration (sudden onset, risk)"
E0044000,M0044,chargeback_deterioration,risk,False,gradual,2024-01-05,2024-01-27,2024-02-16,22,0.36149714204855116,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0044001,M0044,fulfillment_degradation,risk,False,gradual,2024-04-11,2024-05-01,2024-05-13,20,0.1687108418765615,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0044002,M0044,viral_campaign,benign_growth,True,sudden,2024-06-04,2024-06-13,2024-06-17,9,0.02298889786495355,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0044003,M0044,customer_mix_shift,risk,False,gradual,2024-06-25,2024-06-28,2024-06-28,22,0.12068140202608946,"new_customer_rate,chargeback_rate","customer mix shift (gradual onset, risk)"
E0045000,M0045,chargeback_deterioration,risk,False,gradual,2024-01-08,2024-01-31,2024-02-14,23,0.06922301547335019,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0045001,M0045,refund_shock,risk,False,sudden,2024-03-20,2024-04-05,2024-04-15,16,0.1221934972604266,refund_rate,"refund shock (sudden onset, risk)"
E0045002,M0045,product_launch,benign_growth,True,sudden,2024-04-24,2024-06-16,2024-06-21,53,0.594053380893042,"gmv,transaction_count,new_customer_rate","product launch (sudden onset, benign growth (hard negative))"
E0046000,M0046,fulfillment_degradation,risk,False,gradual,2024-01-18,2024-02-18,2024-02-26,31,0.9986676029068566,"fulfillment_on_time_rate,fulfillment_delay_avg_days,chargeback_rate","fulfillment degradation (gradual onset, risk)"
E0046001,M0046,festival_growth,benign_growth,True,gradual,2024-03-22,2024-04-02,2024-04-07,11,0.17124915815508052,"gmv,transaction_count","festival growth (gradual onset, benign growth (hard negative))"
E0046002,M0046,compound_risk,risk,False,sudden,2024-05-13,2024-06-27,2024-06-28,45,0.4172820246508111,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (sudden onset, risk)"
E0047000,M0047,chargeback_deterioration,risk,False,sudden,2024-01-22,2024-02-20,2024-03-03,29,0.1318846417043016,chargeback_rate,"chargeback deterioration (sudden onset, risk)"
E0047001,M0047,payment_method_shift,benign_growth,True,gradual,2024-03-07,2024-04-28,2024-05-03,52,0.01740972643844774,"payment_mix,gmv","payment method shift (gradual onset, benign growth (hard negative))"
E0047002,M0047,refund_shock,risk,False,gradual,2024-05-16,2024-05-24,2024-06-05,8,0.5364225105653108,refund_rate,"refund shock (gradual onset, risk)"
E0047003,M0047,viral_campaign,benign_growth,True,sudden,2024-06-11,2024-06-16,2024-06-24,5,0.4180341542008893,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0048000,M0048,viral_campaign,benign_growth,True,sudden,2024-02-13,2024-02-23,2024-02-26,10,0.746414238921121,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0048001,M0048,customer_mix_shift,risk,False,gradual,2024-03-30,2024-04-23,2024-05-05,24,0.24538069292533016,"new_customer_rate,chargeback_rate","customer mix shift (gradual onset, risk)"
E0048002,M0048,compound_risk,risk,False,gradual,2024-06-02,2024-06-28,2024-06-28,34,0.8449674832696543,"refund_rate,chargeback_rate,fulfillment_on_time_rate","compound risk (gradual onset, risk)"
E0049000,M0049,customer_mix_shift,risk,False,gradual,2024-01-06,2024-01-28,2024-02-15,22,0.5350687047189794,"new_customer_rate,chargeback_rate","customer mix shift (gradual onset, risk)"
E0049001,M0049,viral_campaign,benign_growth,True,sudden,2024-03-31,2024-04-05,2024-04-11,5,0.026808238810444075,"gmv,transaction_count,new_customer_rate","viral campaign (sudden onset, benign growth (hard negative))"
E0049002,M0049,chargeback_deterioration,risk,False,gradual,2024-04-12,2024-05-15,2024-05-27,33,0.917416933434997,chargeback_rate,"chargeback deterioration (gradual onset, risk)"
E0049003,M0049,customer_mix_shift,risk,False,gradual,2024-06-19,2024-06-28,2024-06-28,34,0.4905961354047381,"new_customer_rate,chargeback_rate","customer mix shift (gradual onset, risk)"
